timestamp,ax,ay,az,gx,gy,gz,grx,gry,grz
1773140814.459834,-0.025576,-0.054335,-0.012294,-0.063858,-0.346715,-0.331846,0.138674,-0.132723,-0.981404
1773140814.478875,-0.017704,-0.077969,-0.014343,0.036215,-0.379109,-0.333492,0.131901,-0.131870,-0.982452
1773140814.499238,-0.068727,-0.114687,-0.015626,-0.109321,-0.298780,-0.179355,0.126283,-0.131116,-0.983291
1773140814.519051,-0.020934,-0.113524,-0.006730,-0.180031,-0.340850,-0.241195,0.120619,-0.127351,-0.984496
1773140814.539164,0.010161,-0.081916,0.001292,-0.213460,-0.238760,-0.068026,0.114503,-0.123650,-0.985698
1773140814.559289,-0.047877,-0.115047,0.010006,-0.300680,-0.148301,-0.040300,0.111155,-0.118306,-0.986736
1773140814.579421,0.008473,-0.074987,-0.018604,-0.281425,-0.104364,-0.007234,0.108622,-0.112360,-0.987713
1773140814.599594,0.010650,-0.055380,-0.057274,-0.283137,-0.022041,0.027015,0.107301,-0.106821,-0.988471
1773140814.619613,0.034524,-0.054837,-0.074361,-0.323227,0.029893,0.058039,0.107367,-0.100757,-0.989101
1773140814.639706,0.053625,-0.016198,-0.079539,-0.278542,0.097091,0.083011,0.108438,-0.094688,-0.989583
1773140814.659885,0.072814,-0.004739,-0.072812,-0.203705,0.129458,0.103942,0.110628,-0.090155,-0.989764
1773140814.679957,0.100517,-0.023209,-0.054927,-0.226440,0.094705,0.073941,0.112755,-0.086242,-0.989873
1773140814.700107,0.072707,-0.026233,-0.058868,-0.216378,0.080753,0.052046,0.114304,-0.081860,-0.990067
1773140814.720186,0.043839,-0.012342,-0.053122,-0.143239,0.058523,0.023214,0.115631,-0.078341,-0.990198
1773140814.740468,0.048071,-0.007462,-0.026276,-0.058583,0.004980,0.012482,0.116236,-0.076385,-0.990280
1773140814.760426,0.034113,-0.048402,0.031407,-0.021371,-0.017246,0.037133,0.115988,-0.075713,-0.990361
1773140814.780426,0.028738,-0.053831,0.090316,-0.058408,-0.026669,0.092741,0.115458,-0.074785,-0.990493
1773140814.800650,0.052061,-0.027851,0.117704,-0.080914,-0.029768,0.180124,0.114641,-0.073834,-0.990659
1773140814.821054,0.070187,-0.027018,0.146274,-0.185901,-0.002142,0.297281,0.113956,-0.071935,-0.990878
1773140814.840959,0.121083,-0.035630,0.199987,-0.408730,0.009099,0.434190,0.113475,-0.067031,-0.991277
1773140814.861269,0.163314,-0.068087,0.276560,-0.804512,0.070117,0.631760,0.113541,-0.056546,-0.991923
1773140814.881154,0.208879,-0.154641,0.371850,-1.525203,0.127265,0.899319,0.114836,-0.035636,-0.992745
1773140814.901423,0.244585,-0.276217,0.469744,-2.583775,0.155724,1.176518,0.117323,0.002612,-0.993090
1773140814.921420,0.287135,-0.294925,0.529045,-3.622071,0.141583,1.452066,0.121328,0.061832,-0.990685
1773140814.941473,0.338866,-0.161053,0.553283,-4.230816,0.148296,1.723453,0.127259,0.136471,-0.982436
1773140814.961492,0.367279,0.026791,0.502522,-4.461530,0.238974,2.094839,0.137619,0.216739,-0.966481
1773140814.981606,0.352752,0.069872,0.444537,-4.714071,0.374369,2.448832,0.155381,0.297804,-0.941897
1773140815.001902,0.351667,0.013888,0.410401,-5.161465,0.339316,2.726917,0.180163,0.380796,-0.906937
1773140815.021895,0.376163,-0.018481,0.375560,-5.633816,0.228315,2.953171,0.209241,0.465655,-0.859874
1773140815.042158,0.390168,-0.051890,0.442644,-6.324011,0.158389,3.190702,0.244109,0.550975,-0.798021
1773140815.062376,0.370135,-0.164360,0.584742,-7.140530,-0.063596,3.229709,0.283430,0.636330,-0.717462
1773140815.082472,0.387355,-0.099982,0.652620,-8.332016,-0.353208,3.291889,0.325215,0.719871,-0.613206
1773140815.102630,0.417693,0.079419,0.660771,-9.367256,-0.663107,3.353923,0.370409,0.794330,-0.481496
1773140815.122369,0.435198,0.288089,0.601231,-10.168218,-0.990430,3.240150,0.418577,0.847592,-0.326161
1773140815.142304,0.419447,0.385335,0.415077,-10.340135,-1.349252,2.898708,0.466600,0.870341,-0.157448
1773140815.162472,0.404669,0.452665,0.414582,-9.865252,-1.850502,2.301869,0.509531,0.860445,0.003540
1773140815.182853,0.427538,0.505361,0.494263,-9.497498,-2.331983,1.862431,0.548475,0.823328,0.145966
1773140815.203150,0.402125,0.503362,0.481796,-7.819656,-2.835713,1.435788,0.584859,0.769496,0.256547
1773140815.223044,0.368017,0.674546,0.519060,-5.736178,-3.038228,1.192320,0.622202,0.713195,0.322829
1773140815.247729,0.135671,0.684949,0.422814,-3.126355,-2.600892,0.931987,0.656550,0.670046,0.346381
1773140815.262610,-0.080511,0.441727,0.392290,-1.360209,-1.755817,0.750145,0.682806,0.643570,0.345823
1773140815.282762,-0.125298,0.187680,0.608768,-0.993323,-1.121722,0.689363,0.701729,0.625644,0.340802
1773140815.302680,-0.123522,0.107394,0.679786,-0.805126,-0.772627,0.615115,0.716250,0.610380,0.338266
1773140815.322933,-0.175263,0.165623,0.601170,-0.521843,-0.418203,0.561377,0.727463,0.596935,0.338329
1773140815.343053,-0.201184,0.296064,0.427407,0.192277,-0.225423,0.469263,0.735623,0.588366,0.335685
1773140815.363363,-0.216979,0.215757,0.598998,0.299975,0.062165,0.410177,0.741393,0.583849,0.330842
1773140815.383417,-0.229199,0.271649,0.470987,0.594188,0.252468,0.226244,0.744351,0.581577,0.328192
1773140815.403570,-0.269053,0.255021,0.474226,0.228089,0.397367,-0.044954,0.743144,0.583327,0.327822
1773140815.423673,-0.282189,0.101199,0.401480,0.010905,0.625360,-0.143871,0.738670,0.584989,0.334894
1773140815.443951,-0.307245,0.163999,0.331938,0.211397,0.832513,-0.288878,0.731165,0.588747,0.344637
1773140815.464178,-0.297649,0.162783,0.326945,0.418610,0.994747,-0.386125,0.720608,0.595930,0.354391
