timestamp,ax,ay,az,gx,gy,gz,grx,gry,grz
1773765939.470816,0.043493,0.177917,0.113206,-0.055432,0.104720,-0.119114,0.153025,-0.529662,-0.834291
1773765939.490262,0.020215,0.161598,0.155998,0.029255,0.077199,-0.111345,0.155719,-0.529228,-0.834068
1773765939.522462,0.000450,0.078692,0.178821,-0.029419,0.081802,-0.093290,0.158135,-0.529071,-0.833713
1773765939.530443,-0.022279,0.083457,0.193665,-0.070923,0.085469,-0.068301,0.160386,-0.527747,-0.834122
1773765939.549823,-0.037051,0.140020,0.221323,-0.001164,0.042692,-0.008348,0.161883,-0.526938,-0.834344
1773765939.569660,-0.043504,0.093950,0.221169,0.000718,0.022827,0.050968,0.162126,-0.527299,-0.834069
1773765939.589845,-0.050219,0.053835,0.218358,-0.074938,0.026756,0.083661,0.161699,-0.527026,-0.834324
1773765939.609927,-0.064517,0.076019,0.205281,-0.058566,0.026029,0.138700,0.160937,-0.526122,-0.835042
1773765939.629959,-0.079072,0.102496,0.184726,0.046309,0.038330,0.214769,0.159608,-0.526675,-0.834948
1773765939.650134,-0.082119,0.006534,0.142899,-0.018006,0.043007,0.218466,0.157787,-0.527926,-0.834504
1773765939.670243,-0.082628,-0.089824,0.109028,-0.177249,0.052595,0.167361,0.156466,-0.526891,-0.835407
1773765939.690411,-0.099530,-0.094426,0.059685,-0.229295,0.063084,0.132255,0.156033,-0.523708,-0.837487
1773765939.710508,-0.083019,-0.035460,0.002044,-0.109200,0.002163,0.160035,0.155254,-0.521089,-0.839263
1773765939.730820,-0.086738,-0.036965,-0.037654,-0.033785,-0.045703,0.183413,0.152992,-0.520667,-0.839940
1773765939.750960,-0.079359,-0.087883,-0.058649,-0.089740,-0.057470,0.156218,0.150236,-0.520287,-0.840673
1773765939.770982,-0.067504,-0.121979,-0.063228,-0.236009,-0.035976,0.081995,0.148208,-0.518051,-0.842412
1773765939.790988,-0.059440,-0.193689,-0.051498,-0.550260,-0.015767,0.004167,0.147392,-0.511786,-0.846375
1773765939.811317,-0.037640,-0.206600,0.021068,-0.895104,-0.040690,-0.099898,0.147336,-0.499211,-0.853862
1773765939.831308,-0.022403,-0.226385,0.068207,-1.190824,-0.033840,-0.316610,0.148669,-0.480798,-0.864136
1773765939.851442,0.062559,-0.284176,0.092844,-1.744051,0.053816,-0.337430,0.152132,-0.454608,-0.877603
1773765939.871363,0.161808,-0.307343,0.197938,-2.755963,0.245690,-0.125391,0.157009,-0.414321,-0.896485
1773765939.891753,0.372045,-0.268328,0.376666,-4.117452,0.311872,0.042374,0.162715,-0.351942,-0.921771
1773765939.911755,0.489340,-0.092206,0.659494,-5.628263,0.098018,-0.042714,0.167016,-0.260043,-0.951043
1773765939.931880,0.536006,0.108289,0.911512,-6.983780,-0.207482,-0.081763,0.166066,-0.137265,-0.976514
1773765939.951848,0.455045,0.300674,1.126476,-8.034916,-0.376128,-0.008538,0.160189,0.012254,-0.987010
1773765939.971922,0.394451,0.271980,1.201825,-8.606607,-0.439448,0.149830,0.152180,0.176308,-0.972500
1773765939.992388,0.391993,0.151172,1.171981,-9.502404,-0.517272,0.223273,0.144170,0.348279,-0.926238
1773765940.012111,0.452636,0.094175,1.134700,-10.567080,-0.926257,0.328990,0.134842,0.526430,-0.839457
1773765940.032241,0.449446,0.246931,1.062427,-10.666905,-1.254007,0.922743,0.125078,0.691820,-0.711155
1773765940.052348,0.435425,0.302344,0.834070,-10.377146,-1.257243,1.477984,0.127517,0.823404,-0.552942
1773765940.072331,0.417497,0.408649,0.532259,-9.153958,-1.302027,2.045787,0.146651,0.911282,-0.384783
1773765940.093925,0.335293,0.461233,0.268956,-7.488141,-1.645865,1.913085,0.174641,0.956873,-0.232152
1773765940.112697,0.217724,0.612265,-0.036531,-6.205981,-1.825544,1.899572,0.206669,0.972788,-0.104750
1773765940.132568,0.142616,0.518289,-0.164469,-4.904075,-1.918850,1.828924,0.240990,0.970511,-0.005743
1773765940.152983,0.069391,0.579012,-0.108004,-4.122068,-2.078094,1.706332,0.277059,0.958266,0.070467
1773765940.172818,-0.012908,0.532618,-0.058525,-4.186686,-2.177146,1.370988,0.311096,0.940603,0.135964
1773765940.193348,-0.146023,0.590444,-0.046152,-3.932769,-2.235135,1.061151,0.340557,0.919108,0.198145
1773765940.213921,-0.189765,0.805348,-0.120556,-2.646073,-2.165227,0.942260,0.368568,0.896953,0.244198
1773765940.233562,-0.233177,0.778408,-0.150818,-1.533415,-1.926259,0.852871,0.395027,0.879825,0.264313
1773765940.255149,-0.271776,0.611595,0.082907,-1.483521,-1.695414,0.645430,0.418138,0.865548,0.275659
1773765940.273222,-0.371886,0.567902,-0.018606,-1.250036,-1.254047,0.485875,0.436095,0.852859,0.287146
1773765940.293343,-0.402905,0.631470,-0.050294,-0.263696,-0.964443,0.292248,0.448651,0.845245,0.290299
1773765940.313517,-0.476212,0.437999,-0.071426,0.039090,-0.575201,0.155968,0.457017,0.842854,0.284134
1773765940.333592,-0.393061,0.425223,-0.017693,0.239186,-0.327672,0.139872,0.461756,0.842340,0.277931
1773765940.353919,-0.323921,0.322743,0.021181,0.016048,-0.111885,0.285272,0.466377,0.841319,0.273267
1773765940.374213,-0.229886,0.293818,0.077618,-0.205225,0.022280,0.561116,0.473584,0.836797,0.274754
